DBN,School Name,# Total Students,# Students in Temporary Housing,% Students in Temporary Housing,# Students Residing in Shelter,# Residing in DHS Shelter,# Residing in Non-DHS Shelter,# Doubled Up
25Q467,Flushing Yabc,260,10,3.8%,s,s,s,7
25Q499,"The Queens College School for Math, Science and Te",534,7,1.3%,s,s,s,7
25Q540,Queens Academy High School,394,11,2.8%,s,s,s,s
25Q670,Robert F. Kennedy Community High School,721,26,3.6%,s,s,s,19
25Q700,Universal Pre-K C.B.O.,1812,26,1.4%,s,s,s,20
25Q792,North Queens Community High School,205,15,7.3%,9,s,s,s
26Q018,P.S. 018 Winchester,606,15,2.5%,s,s,s,14
26Q026,P.S. 026 Rufus King,743,15,2.0%,s,s,s,13
26Q041,P.S. 041 Crocheron,481,16,3.3%,s,s,s,16
26Q046,P.S. 046 Alley Pond,574,10,1.7%,s,s,s,10
26Q067,J.H.S. 067 Louis Pasteur,963,15,1.6%,s,s,s,14
26Q074,J.H.S. 074 Nathaniel Hawthorne,1180,25,2.1%,s,s,s,23
26Q094,P.S. 094 David D. Porter,347,12,3.5%,s,s,s,12
26Q115,The James J. Ambrose School,800,11,1.4%,s,s,s,11
26Q133,P.S. 133 Queens,608,28,4.6%,s,s,s,26
26Q158,M.S. 158 Marie Curie,1094,24,2.2%,s,s,s,23
26Q159,P.S. 159,687,40,5.8%,s,s,s,39
26Q162,P.S. 162 John Golden,684,6,0.9%,s,s,s,6
26Q172,Irwin Altman Middle School 172,1004,10,1.0%,s,s,s,9
26Q173,P.S. 173 Fresh Meadows,1004,35,3.5%,s,s,s,31
26Q178,P.S./ IS 178 Holliswood,587,16,2.7%,s,s,s,15
26Q186,P.S. 186 Castlewood,394,6,1.5%,s,s,s,6
26Q191,P.S. 191 Mayflower,397,27,6.8%,s,s,s,27
26Q213,P.S. 213 The Carl Ullman School,476,29,6.1%,s,s,s,26
26Q216,J.H.S. 216 George J. Ryan,1566,121,7.7%,s,s,s,118
26Q266,P.S./I.S. 266,666,10,1.5%,s,s,s,s
26Q315,Business Technology Early College High School,535,36,6.7%,11,s,s,24
26Q376,P.S. 376,176,10,5.7%,s,s,s,10
26Q415,Benjamin N. Cardozo High School,3622,100,2.8%,14,s,s,77
26Q430,Francis Lewis High School,4506,175,3.9%,8,s,s,161
26Q435,Martin Van Buren High School,1189,26,2.2%,12,s,s,11
26Q495,Bayside High School,2865,145,5.1%,10,s,s,127
26Q566,"Queens High School of Teaching, Liberal Arts and t",1083,27,2.5%,7,s,s,20
26Q700,Universal Pre-K C.B.O.,1014,12,1.2%,s,s,s,10
27Q042,P.S./M.S 042 R. Vernam,680,92,13.5%,45,34,11,45
27Q043,P.S. 043,925,156,16.9%,76,60,16,75
27Q045,P.S. 045 Clarence Witherspoon,326,61,18.7%,37,s,s,18
27Q047,P.S. 047 Chris Galas,251,9,3.6%,s,s,s,8
27Q051,P.S. 051,256,15,5.9%,s,s,s,14
27Q053,M.S. 053 Brian Piccolo,256,55,21.5%,35,20,15,17
27Q056,P.S. 056 Harry Eichler,375,33,8.8%,s,s,s,27
27Q060,P.S. 060 Woodhaven,1221,68,5.6%,15,s,s,52
27Q062,P. S. 62 - Chester Park School,948,16,1.7%,9,s,s,7
27Q063,P.S. 063 Old South,1259,50,4.0%,21,s,s,26
27Q064,P.S. 064 Joseph P. Addabbo,562,6,1.1%,s,s,s,s
27Q065,P.S. 65 - The Raymond York Elementary School,485,35,7.2%,15,s,s,19
27Q066,P.S. 066 Jacqueline Kennedy Onassis,501,24,4.8%,s,s,s,21
27Q090,P.S. 090 Horace Mann,822,74,9.0%,6,s,s,64
27Q096,P.S. 096,315,16,5.1%,s,s,s,13
27Q097,P.S. 097 Forest Park,737,31,4.2%,6,s,s,24
27Q100,P.S. 100 Glen Morris,984,20,2.0%,9,s,s,10
27Q104,P.S. 104 The Bays Water,668,66,9.9%,25,18,7,37
27Q105,P.S. 105 The Bay School,894,118,13.2%,72,52,20,44
27Q106,Lighthouse Elementary School,225,34,15.1%,14,s,s,19
27Q108,P.S. 108 Captain Vincent G. Fowler,1455,86,5.9%,15,s,s,71
27Q114,P.S./M.S. 114 Belle Harbor,689,6,0.9%,s,s,s,s
27Q123,P.S. 123,712,59,8.3%,34,27,7,24
27Q124,P.S. 124 Osmond A Church,1184,27,2.3%,11,s,s,16
27Q137,M.S. 137 America's School of Heroes,1935,31,1.6%,10,s,s,16
27Q146,P.S. 146 Howard Beach,644,14,2.2%,s,s,s,13
27Q155,P.S. 155,559,19,3.4%,6,s,s,12
27Q183,P.S. 183 Dr. Richard R. Green,499,37,7.4%,22,s,s,15
27Q197,P.S. 197 The Ocean School,581,40,6.9%,15,s,s,21
27Q202,J.H.S. 202 Robert H. Goddard,1145,54,4.7%,12,s,s,38
27Q210,J.H.S. 210 Elizabeth Blackwell,1983,126,6.4%,29,22,7,92
27Q223,P.S. 223 Lyndon B. Johnson,606,40,6.6%,17,s,s,14
27Q226,J.H.S. 226 Virgil I. Grissom,1002,94,9.4%,35,21,14,57
27Q232,P.S. 232 Lindenwood,978,19,1.9%,8,s,s,11
27Q253,P.S. 253,603,119,19.7%,26,s,s,88
27Q254,P.S. 254 - The Rosa Parks School,633,36,5.7%,6,s,s,30
27Q260,Frederick Douglass Academy VI High School,341,44,12.9%,20,8,12,20
27Q261,Voyages Prep - South Queens,337,30,8.9%,16,8,8,12
27Q262,Channel View School for Research,973,25,2.6%,13,7,6,10
27Q273,P.S. 273,331,7,2.1%,s,s,s,s
27Q282,Knowledge and Power Preparatory Academy VI,263,8,3.0%,s,s,s,7
27Q297,Hawtree Creek Middle School,380,16,4.2%,s,s,s,8
