modzcta,BOROUGH_GROUP,modzcta_name,label,lat,lon,positive_count_7day,positivity_rate_7day,people_tested,daterange,death_count_28day,death_rate_28day,daterange,cumulative_positive_count,cumulative_death_count,cumulative_positive_rate,TOTAL_COVID_TESTS
11104,Queens,Sunnyside,11104,40.744658,-73.920205,16,1.96,816,February 5-February 11,6,23.6,January 4-January 31,6302,90,20.68,24535
11105,Queens,Ditmars Steinway,11105,40.778969,-73.906286,25,2.44,1024,February 5-February 11,22,60.8,January 4-January 31,9464,143,21.79,32009
11106,Queens,Astoria (South),11106,40.761792,-73.931771,28,2.43,1151,February 5-February 11,7,18.7,January 4-January 31,9728,139,21.67,36452
11109,Queens,Long Island City,11109,40.746211,-73.956999,3,1.89,159,February 5-February 11,0,0,January 4-January 31,1310,3,15.71,7104
11201,Brooklyn,Brooklyn Heights/DUMBO/Downtown Brooklyn,11201,40.694609,-73.989581,61,2.09,2916,February 5-February 11,17,27.3,January 4-January 31,13058,205,14.99,70252
11203,Brooklyn,East Flatbush (North)/East Flatbush (South),11203,40.649576,-73.934363,40,1.99,2008,February 5-February 11,35,47.7,January 4-January 31,17138,457,22.02,66808
11204,Brooklyn,Bensonhurst/Mapleton,11204,40.618774,-73.984824,80,2.87,2790,February 5-February 11,31,40.2,January 4-January 31,19589,318,21.72,72271
11205,Brooklyn,Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene,11205,40.694625,-73.966212,52,1.48,3511,February 5-February 11,9,19.9,January 4-January 31,10307,112,18.26,46836
11206,Brooklyn,Williamsburg (South),11206,40.701957,-73.942361,58,1.11,5202,February 5-February 11,29,33.4,January 4-January 31,22809,342,21.58,87389
11207,Brooklyn,Cypress Hills/East New York,11207,40.670819,-73.894255,50,1.75,2861,February 5-February 11,44,49.4,January 4-January 31,24810,481,24.42,88235
11208,Brooklyn,Cypress Hills/East New York,11208,40.668385,-73.871084,73,2.7,2707,February 5-February 11,36,37.7,January 4-January 31,27229,499,25.44,90879
11209,Brooklyn,Bay Ridge/Fort Hamilton,11209,40.621811,-74.030011,77,3.9,1972,February 5-February 11,26,38.5,January 4-January 31,17482,267,22.42,62211
11210,Brooklyn,Flatlands/Midwood,11210,40.628165,-73.946316,35,2.27,1540,February 5-February 11,14,21.3,January 4-January 31,15467,293,22.69,54366
11211,Brooklyn,East Williamsburg/Williamsburg (North)/Williamsburg (South),"11211, 11249",40.712334,-73.953851,104,1.62,6414,February 5-February 11,27,26.6,January 4-January 31,26828,273,20.01,110974
11212,Brooklyn,Ocean Hill-Brownsville,11212,40.662935,-73.913011,53,2.12,2502,February 5-February 11,33,44.6,January 4-January 31,21807,520,24.65,76773
11213,Brooklyn,Crown Heights (East),11213,40.671074,-73.93633,41,2.11,1943,February 5-February 11,34,52.6,January 4-January 31,17197,360,21.34,66324
11214,Brooklyn,Bath Beach/Bensonhurst/Gravesend,11214,40.598729,-73.99621,92,3.71,2479,February 5-February 11,56,60.3,January 4-January 31,22825,523,23.31,78823
11215,Brooklyn,Gowanus/Park Slope/Windsor Terrace,11215,40.66252,-73.986872,80,2.76,2902,February 5-February 11,13,18.7,January 4-January 31,11426,117,13.88,64304
11216,Brooklyn,Bedford-Stuyvesant (West)/Crown Heights (West),11216,40.680785,-73.94931,68,3.38,2011,February 5-February 11,15,27.4,January 4-January 31,12752,181,19.24,53424
11217,Brooklyn,Boerum Hill/Park Slope,"11217, 11243",40.682417,-73.97938,45,2.56,1759,February 5-February 11,16,39.1,January 4-January 31,8837,160,15.56,44917
11218,Brooklyn,Kensington/Windsor Terrace,11218,40.64348,-73.976044,66,2.22,2979,February 5-February 11,27,36.5,January 4-January 31,17953,335,19.8,75867
11219,Brooklyn,Borough Park,11219,40.632662,-73.996666,84,1.88,4458,February 5-February 11,33,36.6,January 4-January 31,22032,373,19.47,95511
11220,Brooklyn,Sunset Park,11220,40.641081,-74.016495,105,3.7,2836,February 5-February 11,24,25.4,January 4-January 31,26732,363,24.91,89074
11221,Brooklyn,Bedford-Stuyvesant (East)/Bushwick,11221,40.691339,-73.927885,74,2.81,2636,February 5-February 11,35,43,January 4-January 31,20589,342,22,78151
11222,Brooklyn,Greenpoint,11222,40.728292,-73.947562,53,3.34,1586,February 5-February 11,0,0,January 4-January 31,9958,76,18.98,40583
11223,Brooklyn,Gravesend/Homecrest,11223,40.597169,-73.973422,71,3.44,2066,February 5-February 11,40,49.1,January 4-January 31,23834,347,27.66,71088
11224,Brooklyn,Brighton Beach/Coney Island/Seagate,11224,40.57666,-73.988581,55,4.32,1273,February 5-February 11,48,103.7,January 4-January 31,14431,534,27.77,43352
11225,Brooklyn,Crown Heights (West)/Prospect Lefferts Gardens,11225,40.663056,-73.954226,47,2.59,1814,February 5-February 11,16,27.8,January 4-January 31,12144,270,18.98,52395
11226,Brooklyn,Flatbush/Prospect Lefferts Gardens,11226,40.646456,-73.956654,59,1.88,3138,February 5-February 11,46,47.2,January 4-January 31,23019,572,21.25,90738
11228,Brooklyn,Bath Beach/Dyker Heights,11228,40.616715,-74.013054,38,3.15,1207,February 5-February 11,20,44.5,January 4-January 31,10971,210,25.23,37013
11229,Brooklyn,Gerritsen Beach/Homecrest/Sheepshead Bay,11229,40.601175,-73.944465,63,3.33,1890,February 5-February 11,26,31.1,January 4-January 31,23354,401,26.29,72117
11230,Brooklyn,Midwood,11230,40.622164,-73.965096,68,2.82,2415,February 5-February 11,34,38.2,January 4-January 31,26478,539,24.84,87989
11231,Brooklyn,Carroll Gardens/Cobble Hill/Red Hook,11231,40.677562,-74.004445,50,3.36,1489,February 5-February 11,9,24.1,January 4-January 31,7538,85,17.13,35490
11232,Brooklyn,Sunset Park,11232,40.655984,-74.005304,24,2.95,814,February 5-February 11,10,36.9,January 4-January 31,7506,90,22.11,27859
11233,Brooklyn,Bedford-Stuyvesant (East)/Ocean Hill-Brownsville,11233,40.678302,-73.919931,32,1.36,2356,February 5-February 11,29,39,January 4-January 31,17600,347,22.74,63890
11234,Brooklyn,Bergen Beach/Flatlands/Marine Park/Mill Basin,11234,40.60758,-73.910513,61,2.83,2158,February 5-February 11,32,34,January 4-January 31,22454,411,23.92,75648
11235,Brooklyn,Brighton Beach/Manhattan Beach/Sheepshead Bay,11235,40.583915,-73.949669,93,3.87,2402,February 5-February 11,82,104.9,January 4-January 31,25266,765,26.09,76410
11236,Brooklyn,Canarsie,11236,40.640004,-73.901459,46,1.82,2527,February 5-February 11,37,38.1,January 4-January 31,23057,542,23.37,82420
11237,Brooklyn,Bushwick/East Williamsburg,11237,40.704153,-73.920883,39,2.58,1511,February 5-February 11,7,14.6,January 4-January 31,12719,185,22.6,46579
11238,Brooklyn,Clinton Hill/Prospect Heights,11238,40.679179,-73.963804,60,2.52,2384,February 5-February 11,21,39.2,January 4-January 31,11732,209,16.71,55969
11239,Brooklyn,East New York,11239,40.64753,-73.882398,5,1.18,422,February 5-February 11,7,53.8,January 4-January 31,4305,175,29.01,13227
11354,Queens,Flushing/Murray Hill,11354,40.76863,-73.827229,58,4.81,1207,February 5-February 11,33,61.2,January 4-January 31,12487,510,21.08,49573
11355,Queens,Flushing/Murray Hill/Queensboro Hill,11355,40.751459,-73.821014,86,5.08,1694,February 5-February 11,32,40.6,January 4-January 31,19952,446,23.22,72161
11356,Queens,College Point,11356,40.784867,-73.841495,20,3.07,652,February 5-February 11,6,26.3,January 4-January 31,6866,77,23.8,22899
11357,Queens,Whitestone,11357,40.78639,-73.810964,24,2.81,853,February 5-February 11,14,36.2,January 4-January 31,9927,200,23.07,34667
11358,Queens,Auburndale/Murray Hill,11358,40.760475,-73.79637,24,2.67,899,February 5-February 11,15,41.6,January 4-January 31,8265,112,20.38,31255
11360,Queens,Bayside (North),11360,40.78205,-73.7808,18,3.96,455,February 5-February 11,5,26.3,January 4-January 31,3807,82,19.47,15553
11361,Queens,Bayside (North)/Bayside (South),11361,40.763748,-73.772419,22,3.38,651,February 5-February 11,13,49.3,January 4-January 31,5899,129,19.68,22996
11362,Queens,Douglaston-Little Neck,11362,40.756533,-73.736995,14,3.17,442,February 5-February 11,9,49.7,January 4-January 31,3534,86,18.96,14375
11363,Queens,Douglaston-Little Neck,11363,40.772803,-73.746444,8,4.42,181,February 5-February 11,0,0,January 4-January 31,1260,14,16.6,5746
11364,Queens,Bayside (South)/Oakland Gardens,11364,40.745279,-73.760578,31,3.11,998,February 5-February 11,0,0,January 4-January 31,6771,79,19.39,28083
11365,Queens,Auburndale/Fresh Meadows/Pomonok/Utopia,11365,40.739775,-73.794806,33,3.15,1049,February 5-February 11,11,25.1,January 4-January 31,9922,165,20.91,36735
11366,Queens,Fresh Meadows/Hillcrest,11366,40.728136,-73.784981,9,2.76,326,February 5-February 11,7,49.3,January 4-January 31,3204,62,22.12,11648
11367,Queens,Kew Gardens Hills/Pomonok,11367,40.730383,-73.826297,26,3.09,841,February 5-February 11,10,24.6,January 4-January 31,10460,145,22.28,36157
11368,Queens,Corona/North Corona,11368,40.749594,-73.852604,50,1.64,3044,February 5-February 11,18,16.3,January 4-January 31,30711,644,23.34,111074
11369,Queens,Airport/East Elmhurst,11369,40.768944,-73.872812,24,2.36,1016,February 5-February 11,13,38.7,January 4-January 31,11582,281,24.44,39580
11370,Queens,Jackson Heights/Rikers Island,11370,40.763466,-73.891021,17,2.51,677,February 5-February 11,0,0,January 4-January 31,9012,122,24.8,29423
11372,Queens,Jackson Heights,11372,40.75169,-73.883634,58,3.27,1776,February 5-February 11,24,39.5,January 4-January 31,18096,416,22.79,65841
11373,Queens,Elmhurst,11373,40.738823,-73.8785,62,2.23,2780,February 5-February 11,19,20.7,January 4-January 31,27503,476,24.11,96000
11374,Queens,Rego Park,11374,40.726441,-73.861497,45,3.89,1157,February 5-February 11,13,31.4,January 4-January 31,11909,198,24.52,40778
11375,Queens,Forest Hills,11375,40.720931,-73.846184,44,2.36,1862,February 5-February 11,22,30.9,January 4-January 31,15676,357,21,62638
11377,Queens,Woodside,11377,40.744823,-73.90516,83,3.47,2395,February 5-February 11,19,22.6,January 4-January 31,25078,403,24.15,86668
11378,Queens,Maspeth,11378,40.724768,-73.909399,32,3.52,908,February 5-February 11,10,27.7,January 4-January 31,10236,135,24.72,32376
11379,Queens,Middle Village,11379,40.716758,-73.879597,34,3.96,859,February 5-February 11,20,54.6,January 4-January 31,9928,211,25.05,31936
11385,Queens,Glendale/Ridgewood,11385,40.701058,-73.890159,74,2.8,2640,February 5-February 11,25,24.1,January 4-January 31,27765,314,25.93,88547
11411,Queens,Cambria Heights,11411,40.694202,-73.735998,12,2.6,461,February 5-February 11,0,0,January 4-January 31,4763,82,23.83,16683
11412,Queens,St. Albans,11412,40.698095,-73.758984,32,3.06,1046,February 5-February 11,18,47.2,January 4-January 31,10055,167,24.63,34049
11413,Queens,Laurelton/Rosedale,11413,40.669738,-73.750842,20,1.89,1059,February 5-February 11,13,30.1,January 4-January 31,10252,190,24,35857
11414,Queens,Hamilton Beach/Howard Beach/Lindenwood,11414,40.658266,-73.844905,21,3.39,619,February 5-February 11,15,52.9,January 4-January 31,8204,163,29.3,22936
11415,Queens,Kew Gardens,11415,40.708323,-73.828212,20,3.95,506,February 5-February 11,6,31.8,January 4-January 31,4872,96,23.5,17535
11416,Queens,Ozone Park,11416,40.684652,-73.849549,16,2.27,706,February 5-February 11,9,34.1,January 4-January 31,8081,125,26.1,26522
11417,Queens,Ozone Park,11417,40.676457,-73.844522,19,2.17,876,February 5-February 11,12,38.7,January 4-January 31,9320,118,26.43,28518
