SITE ID,STATUS,PPT ID,ADDRESS,BOROUGH,LATITUDE,LONGITUDE,WIFI STATUS,TABLET STATUS,PHONE STATUS,CROSS STREET 1,CROSS STREET 2,CORNER LOCATION,COMMUNITY BOARD,COUNCIL DISTRICT,CENSUS TRACT,NTA,BBL,BIN,LOCATION,POSTCODE,PPT ID
bk-02-126807,Live,126807,56 LAFAYETTE AVENUE,Brooklyn,40.68696059,-73.97637079,up,up,up,FORT GREENE PLACE,ST FELIX STREET,SE,302,35,3003500,Fort Greene,3021130022,3059247,"(40.68696059, -73.97637079)",11217,126807
bk-02-126838,Live,126838,275 LIVINGSTON STREET,Brooklyn,40.68844943,-73.98247226,up,up,up,HANOVER PLACE,NEVINS STREET,NE,302,33,3003700,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3001610001,3000461,"(40.68844943, -73.98247226)",11201,126838
bk-02-126839,Live,126839,340 LIVINGSTON STREET,Brooklyn,40.68781362,-73.98128393,up,up,up,NEVINS STREET,FLATBUSH AVENUE,SE,302,33,3003700,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3001670003,3000522,"(40.68781362, -73.98128393)",11217,126839
bk-02-126847,Live,126847,141 LIVINGSTON STREET,Brooklyn,40.69059444,-73.9879984,up,up,up,SMITH STREET,BOERUM PLACE,NW,302,33,3003700,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3001540028,3000428,"(40.69059444, -73.9879984)",11201,126847
bk-02-126904,Live,126904,128 MONTAGUE STREET,Brooklyn,40.69472554,-73.9942271,up,up,up,HENRY STREET,CLINTON STREET,SE,302,33,3000502,Brooklyn Heights-Cobble Hill,3002490025,3002077,"(40.69472554, -73.9942271)",11201,126904
bk-02-127256,Live,127256,320 SCHERMERHORN STREET,Brooklyn,40.68721034,-73.9817194,up,up,up,NEVINS STREET,3 STREET,SE,302,33,3003900,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3001730001,3000573,"(40.68721034, -73.9817194)",11217,127256
bk-02-127278,Live,127278,126 SMITH STREET,Brooklyn,40.6874966,-73.99002262,up,up,up,DEAN STREET,PACIFIC STREET,NW,302,33,3004300,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3001870029,3001047,"(40.6874966, -73.99002262)",11201,127278
bk-02-134976,Live,134976,248 DUFFIELD STREET,Brooklyn,40.690588,-73.984481,up,up,up,FULTON STREET,WILLOUGHBY STREET,NW,302,33,3001500,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3001457501,3413889,"(40.690588, -73.984481)",11201,134976
bk-02-135003,Live,135003,156 LAWRENCE STREET,Brooklyn,40.69123398,-73.98638427,up,down,up,FULTON STREET,WILLOUGHBY STREET,NW,302,33,3001100,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3001510040,3000399,"(40.69123398, -73.98638427)",11201,135003
bk-02-142293,Live,142293,36 BOND STREET,Brooklyn,40.6886723,-73.98371008,up,up,up,LIVINGSTON STREET,SCHERMERHORN STREET,SW,302,33,3003700,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3001650029,3329446,"(40.6886723, -73.98371008)",11201,142293
bk-02-145747,Live,145747,907 FULTON STREET,Brooklyn,40.683591,-73.967093,up,up,up,CLINTON AVENUE,VANDERBILT AVENUE,NW,302,35,3019900,Clinton Hill,3019760018,3056600,"(40.683591, -73.967093)",11238,145747
bk-02-145752,Live,145752,710 FULTON STREET,Brooklyn,40.685787,-73.97332,up,up,up,HANSON PLACE,SOUTH PORTLAND AVENUE,MIDBLOCK,302,35,3018100,Fort Greene,3021150010,3059289,"(40.685787, -73.97332)",11217,145752
bk-02-145753,Live,145753,770 FULTON STREET,Brooklyn,40.68454905,-73.97022462,up,up,down,ADELPHI STREET,CARLTON AVENUE,SW,302,35,3017900,Fort Greene,3020070014,3321980,"(40.68454905, -73.97022462)",11238,145753
bk-02-145793,Live,145793,464 GRAND AVENUE,Brooklyn,40.68219957,-73.9616482,up,up,up,FULTON STREET,LEFFERTS PLACE,NW,302,35,3020100,Clinton Hill,3020140033,3057641,"(40.68219957, -73.9616482)",11238,145793
bk-02-145810,Live,145810,79 HENRY STREET,Brooklyn,40.69828038,-73.9925546,up,up,up,PINEAPPLE STREET,ORANGE STREET,NE,302,33,3000100,Brooklyn Heights-Cobble Hill,3002170001,3339176,"(40.69828038, -73.9925546)",11201,145810
bk-02-145811,Live,145811,322 LIVINGSTON STREET,Brooklyn,40.68803876,-73.98187215,up,down,down,NEVINS STREET,HANOVER PLACE,SW,302,33,3003700,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3001660032,3000511,"(40.68803876, -73.98187215)",11217,145811
bk-02-145812,Live,145812,957 FULTON STREET,Brooklyn,40.68307692,-73.96463345,up,up,up,WASHINGTON AVENUE,ST JAMES PLACE,NE,302,35,3020100,Clinton Hill,3019790060,3056680,"(40.68307692, -73.96463345)",11238,145812
bk-02-145868,Live,145868,470 VANDERBILT AVENUE,Brooklyn,40.68226753,-73.96775318,up,up,up,ATLANTIC AVENUE,FULTON STREET,NW,302,35,3019900,Clinton Hill,3020090001,3335094,"(40.68226753, -73.96775318)",11238,145868
bk-02-145877,Live,145877,219 COURT STREET,Brooklyn,40.68657135,-73.99378509,up,up,up,WARREN STREET,WYCKOFF STREET,NE,302,33,3006900,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3003900002,3006027,"(40.68657135, -73.99378509)",11201,145877
bk-02-145904,Live,145904,71 WYCKOFF STREET,Brooklyn,40.686177,-73.991014,up,up,up,SMITH STREET,COURT STREET,NW,302,33,3006900,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3003840049,3005750,"(40.686177, -73.991014)",11201,145904
bk-02-145910,Live,145910,66 SMITH STREET,Brooklyn,40.68940822,-73.9887287,up,up,up,STATE STREET,SCHERMERHORN STREET,NW,302,33,3004300,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3002587501,3348905,"(40.68940822, -73.9887287)",11201,145910
bk-03-126644,Live,126644,1803 FULTON STREET,Brooklyn,40.679232,-73.927098,up,up,up,ROCHESTER AVENUE,SUMPTER STREET,NE,303,36,3038100,Crown Heights North,3016950049,3047930,"(40.679232, -73.927098)",11233,126644
bk-03-126646,Live,126646,1874 FULTON STREET,Brooklyn,40.67896,-73.924424,up,up,up,BUFFALO AVENUE,HERKIMER STREET,SE,303,41,3029900,Crown Heights North,3017040004,3048037,"(40.67896, -73.924424)",11233,126646
